,sales,order_id,order_date,customer_id,segment,category,sub_category,quantity,profit
77,2678.94,US-2016-164196,2016-11-11,AS-10285,Corporate,Furniture,Tables,6,241.1046
78,2676.672,CA-2015-111038,2015-12-01,LC-16960,Home Office,Furniture,Chairs,9,267.6672
79,2665.62,CA-2017-123967,2017-11-01,SF-20200,Consumer,Furniture,Tables,9,239.9058
80,2625.12,CA-2015-123113,2015-11-23,AT-10735,Consumer,Office Supplies,Appliances,8,735.0336
81,2624.985,CA-2014-127299,2014-09-19,JL-15835,Consumer,Technology,Machines,3,-944.9946
82,2621.322,CA-2015-160227,2015-11-02,ED-13885,Home Office,Furniture,Chairs,11,553.3902
83,2591.56,CA-2017-112333,2017-04-08,KF-16285,Home Office,Office Supplies,Storage,4,621.9744
84,2575.944,US-2016-116729,2016-12-25,GK-14620,Corporate,Technology,Phones,7,257.5944
85,2573.82,CA-2014-167199,2014-01-06,ME-17320,Home Office,Furniture,Chairs,9,746.4078
86,2567.84,CA-2015-120677,2015-05-31,BD-11320,Consumer,Furniture,Chairs,8,770.352
87,2563.056,CA-2016-169670,2016-12-25,JE-15715,Consumer,Furniture,Chairs,8,313.2624
88,2549.985,CA-2017-134845,2017-04-17,SR-20425,Home Office,Technology,Machines,5,-3399.98
89,2548.56,CA-2015-135580,2015-12-30,CL-12565,Consumer,Technology,Machines,6,286.713
90,2541.98,CA-2015-162782,2015-02-21,PW-19240,Consumer,Office Supplies,Binders,2,1270.99
91,2519.958,US-2014-106992,2014-09-19,SB-20290,Corporate,Technology,Machines,7,-251.9958
92,2518.29,CA-2017-166093,2017-08-17,RW-19540,Corporate,Office Supplies,Appliances,9,654.7554
93,2504.74,CA-2017-168858,2017-11-19,JD-16150,Corporate,Office Supplies,Appliances,7,626.185
94,2479.96,CA-2017-160885,2017-12-02,JK-16090,Consumer,Technology,Phones,4,743.988
95,2453.43,CA-2015-139731,2015-10-15,JE-15745,Consumer,Furniture,Chairs,5,-350.49
96,2430.08,CA-2016-104157,2016-07-25,MT-17815,Consumer,Furniture,Tables,8,388.8128
97,2405.2,CA-2017-121559,2017-06-01,HW-14935,Corporate,Office Supplies,Appliances,8,793.716
98,2404.704,CA-2017-122490,2017-11-13,TT-21070,Consumer,Furniture,Chairs,6,150.294
99,2399.96,US-2017-135013,2017-07-24,HR-14830,Corporate,Technology,Copiers,5,839.986
100,2399.96,US-2017-141677,2017-03-26,HK-14890,Corporate,Technology,Copiers,5,569.9905
101,2399.6,CA-2017-127180,2017-10-22,TA-21385,Home Office,Technology,Phones,8,647.892
102,2396.4,CA-2016-107202,2016-05-21,LC-16930,Corporate,Technology,Machines,10,179.73
103,2396.2656,CA-2016-108987,2016-09-08,AG-10675,Consumer,Furniture,Bookcases,4,-317.1528
104,2395.2,CA-2017-168109,2017-07-03,JK-15640,Home Office,Technology,Machines,6,209.58
105,2357.488,US-2017-163300,2017-09-15,ES-14020,Consumer,Office Supplies,Binders,7,884.058
106,2348.82,CA-2014-126683,2014-09-29,PP-18955,Home Office,Furniture,Tables,9,399.2994
107,2321.9,CA-2015-169796,2015-11-09,Dp-13240,Home Office,Technology,Machines,2,1114.512
108,2314.116,US-2017-162558,2017-10-02,Dp-13240,Home Office,Furniture,Tables,7,-1002.7836
109,2309.65,CA-2015-124891,2015-07-31,RH-19495,Consumer,Technology,Accessories,7,762.1845
110,2279.96,US-2016-113677,2016-11-13,CM-12655,Home Office,Technology,Phones,4,592.7896
111,2275.5,CA-2016-113831,2016-05-30,AH-10690,Corporate,Furniture,Tables,10,386.835
112,2254.41,CA-2017-100111,2017-09-20,SV-20365,Consumer,Furniture,Chairs,5,375.735
113,2249.91,CA-2017-143567,2017-11-02,TB-21175,Corporate,Technology,Accessories,9,517.4793
114,2249.91,US-2015-134558,2015-12-19,PM-19135,Home Office,Technology,Accessories,9,517.4793
115,2244.48,CA-2014-136567,2014-12-20,PS-19045,Home Office,Furniture,Tables,7,493.7856
116,2239.936,CA-2017-119284,2017-06-15,TS-21205,Corporate,Technology,Phones,8,223.9936
117,2177.584,CA-2014-169019,2014-07-26,LF-17185,Consumer,Office Supplies,Binders,8,-3701.8928
118,2154.9,CA-2017-150091,2017-10-12,NP-18670,Consumer,Furniture,Bookcases,5,129.294
119,2152.776,CA-2014-128209,2014-11-17,GT-14710,Consumer,Office Supplies,Binders,3,726.5619
120,2104.55,CA-2016-143805,2016-12-01,JD-15895,Corporate,Office Supplies,Appliances,7,694.5015
121,2079.4,CA-2016-163804,2016-12-02,DB-13270,Home Office,Office Supplies,Storage,5,582.232
122,2065.32,US-2017-110576,2017-11-28,RB-19795,Home Office,Furniture,Tables,12,-619.596
123,2060.744,CA-2014-169726,2014-08-09,JH-15985,Consumer,Office Supplies,Binders,7,643.9825
124,2054.272,CA-2017-149559,2017-09-11,KF-16285,Home Office,Furniture,Chairs,8,256.784
125,2036.86,CA-2017-107174,2017-11-06,AB-10060,Home Office,Furniture,Tables,7,366.6348
126,2033.584,CA-2014-128524,2014-11-11,MZ-17515,Corporate,Office Supplies,Binders,2,762.594
127,2025.36,CA-2015-147830,2015-12-15,NF-18385,Consumer,Technology,Accessories,6,607.608
128,2022.272,CA-2017-111738,2017-01-03,CM-12385,Consumer,Office Supplies,Binders,8,682.5168
129,2003.92,US-2015-126977,2015-09-17,PF-19120,Consumer,Furniture,Bookcases,5,-25.049
130,2003.92,CA-2015-137113,2015-12-01,TW-21025,Home Office,Furniture,Chairs,5,125.245
131,2003.52,CA-2016-155530,2016-12-17,CM-12160,Consumer,Furniture,Tables,6,-325.572
132,2003.168,CA-2017-121790,2017-01-30,LP-17095,Consumer,Technology,Phones,4,250.396
133,2001.86,CA-2014-131926,2014-06-01,DW-13480,Home Office,Furniture,Chairs,7,580.5394
134,1999.96,CA-2014-163748,2014-10-14,HG-15025,Consumer,Technology,Copiers,5,624.9875
135,1999.96,CA-2016-157791,2016-12-23,CA-11965,Corporate,Technology,Copiers,4,899.982
136,1983.968,CA-2014-134313,2014-11-01,RA-19915,Consumer,Technology,Phones,4,247.996
137,1979.928,CA-2016-133725,2016-05-23,KL-16645,Consumer,Technology,Phones,9,148.4946
138,1979.89,CA-2017-123372,2017-11-28,DG-13300,Corporate,Technology,Phones,11,494.9725
139,1979.7,CA-2016-113831,2016-05-30,AH-10690,Corporate,Technology,Accessories,6,653.301
140,1951.84,CA-2016-114489,2016-12-05,JE-16165,Corporate,Furniture,Chairs,8,585.552
141,1931.958,US-2017-118087,2017-09-09,SP-20620,Corporate,Technology,Phones,7,-386.3916
142,1931.04,CA-2015-114069,2015-07-13,ND-18370,Consumer,Furniture,Chairs,9,321.84
143,1928.78,CA-2017-137596,2017-09-02,BE-11335,Home Office,Technology,Accessories,7,829.3754
144,1927.59,CA-2016-147256,2016-10-17,FC-14245,Home Office,Office Supplies,Appliances,7,751.7601
145,1925.88,CA-2017-121559,2017-06-01,HW-14935,Corporate,Furniture,Chairs,6,539.2464
146,1924.16,CA-2017-167752,2017-01-15,RW-19690,Consumer,Office Supplies,Appliances,8,312.676
147,1919.976,CA-2015-121797,2015-01-30,CC-12145,Consumer,Technology,Machines,3,215.9973
148,1919.976,CA-2017-136308,2017-11-16,MW-18235,Corporate,Technology,Machines,3,215.9973
149,1913.4,CA-2015-137113,2015-12-01,TW-21025,Home Office,Furniture,Tables,9,401.814
150,1889.99,US-2017-122714,2017-12-07,HG-14965,Corporate,Office Supplies,Binders,5,-2929.4845
151,1889.946,US-2017-161935,2017-07-14,JL-15835,Consumer,Technology,Phones,9,-377.9892
152,1879.96,US-2015-128090,2015-08-16,JM-15865,Consumer,Technology,Phones,5,211.4955
153,1879.96,CA-2017-141439,2017-11-26,TT-21460,Home Office,Technology,Phones,4,545.1884
154,1875.258,CA-2017-159100,2017-10-16,VP-21760,Corporate,Furniture,Tables,7,-968.8833
155,1871.88,CA-2015-125976,2015-09-27,JK-15205,Consumer,Technology,Phones,12,561.564
156,1856.19,US-2014-131275,2014-03-18,SC-20050,Home Office,Office Supplies,Storage,7,334.1142
157,1819.86,CA-2014-120768,2014-12-19,IM-15070,Consumer,Furniture,Chairs,14,163.7874
158,1805.88,CA-2017-119452,2017-03-21,CL-12565,Consumer,Furniture,Chairs,6,523.7052
159,1801.632,US-2017-117723,2017-08-15,DL-13495,Corporate,Office Supplies,Storage,6,-337.806
160,1801.632,CA-2014-122931,2014-09-29,SM-20950,Corporate,Office Supplies,Storage,6,-337.806
161,1801.632,CA-2015-134719,2015-10-10,JD-15790,Consumer,Office Supplies,Storage,6,-337.806
162,1799.994,CA-2015-147830,2015-12-15,NF-18385,Consumer,Technology,Machines,2,-2639.9912
163,1799.97,US-2014-135972,2014-09-21,JG-15115,Consumer,Technology,Copiers,3,701.9883
164,1799.97,CA-2014-116666,2014-05-08,KT-16480,Consumer,Technology,Copiers,5,239.996
165,1799.75,CA-2015-130659,2015-12-04,MS-17365,Consumer,Technology,Phones,5,539.925
166,1793.98,CA-2017-141789,2017-10-03,AC-10450,Consumer,Office Supplies,Binders,2,843.1706
167,1793.98,CA-2016-101546,2016-12-18,GK-14620,Corporate,Office Supplies,Binders,2,843.1706
168,1793.98,CA-2014-152268,2014-09-02,SC-20095,Consumer,Office Supplies,Binders,2,843.1706
169,1781.682,CA-2017-142090,2017-11-30,SC-20380,Consumer,Furniture,Tables,7,-653.2834
170,1779.9,US-2017-118941,2017-08-12,BB-11545,Corporate,Furniture,Chairs,5,373.779
171,1747.25,CA-2016-105081,2016-12-25,JE-15715,Consumer,Furniture,Tables,5,629.01
172,1740.06,CA-2014-139892,2014-09-08,BM-11140,Consumer,Furniture,Chairs,9,-24.858
173,1737.18,CA-2014-141313,2014-12-28,AJ-10780,Corporate,Office Supplies,Appliances,6,503.7822
174,1718.4,CA-2015-135622,2015-12-08,TT-21460,Home Office,Technology,Phones,6,150.36
175,1706.184,CA-2014-115812,2014-06-09,BH-11710,Consumer,Furniture,Tables,9,85.3092
176,1704.89,CA-2017-113418,2017-10-01,CM-12655,Home Office,Technology,Machines,11,767.2005
177,1704.56,CA-2017-115602,2017-12-18,DJ-13630,Consumer,Office Supplies,Appliances,13,511.368
178,1702.12,CA-2017-123491,2017-10-30,JK-15205,Consumer,Office Supplies,Appliances,14,510.636
179,1690.04,CA-2015-158421,2015-09-21,GB-14575,Consumer,Furniture,Chairs,4,422.51
180,1687.8,CA-2017-168109,2017-07-03,JK-15640,Home Office,Technology,Accessories,4,742.632
181,1687.8,CA-2014-133592,2014-12-31,KM-16375,Home Office,Technology,Accessories,4,742.632
182,1685.88,US-2016-102239,2016-05-05,LW-16990,Corporate,Furniture,Tables,6,320.3172
183,1684.752,US-2016-163881,2016-11-24,SP-20860,Corporate,Furniture,Chairs,6,210.594
184,1679.96,CA-2014-131387,2014-04-28,AI-10855,Consumer,Technology,Phones,5,125.997
185,1676.88,CA-2014-108147,2014-06-08,RD-19480,Consumer,Office Supplies,Storage,6,83.844
186,1673.184,US-2017-105998,2017-11-03,CR-12580,Home Office,Furniture,Tables,12,20.9148
187,1669.6,CA-2017-148446,2017-12-10,MC-17845,Consumer,Furniture,Tables,4,116.872
188,1665.62,CA-2017-158729,2017-12-19,AC-10450,Consumer,Office Supplies,Supplies,2,33.3124
189,1652.94,CA-2016-142335,2016-12-15,MP-17965,Corporate,Furniture,Tables,3,231.4116
190,1652.94,US-2016-121013,2016-09-05,MM-17920,Consumer,Furniture,Tables,3,314.0586
191,1649.95,CA-2016-153598,2016-12-03,NM-18520,Consumer,Technology,Accessories,5,659.98
192,1649.95,US-2017-167318,2017-07-26,GZ-14545,Corporate,Technology,Accessories,5,659.98
193,1649.75,CA-2016-125220,2016-10-14,BE-11410,Consumer,Technology,Accessories,5,544.4175
194,1640.7,CA-2015-160171,2015-10-19,RM-19675,Home Office,Office Supplies,Appliances,5,459.396
195,1640.7,CA-2017-107517,2017-02-05,FC-14335,Corporate,Office Supplies,Appliances,5,459.396
196,1633.188,US-2017-120390,2017-10-19,TH-21550,Home Office,Office Supplies,Binders,4,-1306.5504
197,1633.14,CA-2017-152912,2017-11-09,BM-11650,Corporate,Office Supplies,Storage,9,473.6106
198,1628.82,CA-2017-138975,2017-05-19,SC-20380,Consumer,Furniture,Bookcases,9,374.6286
199,1628.82,CA-2014-151330,2014-10-14,TC-21295,Consumer,Furniture,Chairs,9,260.6112
200,1626.192,CA-2017-118724,2017-07-21,AR-10825,Corporate,Technology,Phones,9,121.9644
201,1619.91,US-2015-127040,2015-12-06,SG-20605,Consumer,Technology,Accessories,9,97.1946
202,1618.37,US-2015-126214,2015-12-21,JS-15880,Consumer,Furniture,Tables,13,356.0414
203,1614.582,CA-2017-128363,2017-08-13,DC-12850,Consumer,Office Supplies,Binders,6,-1237.8462
204,1606.23,CA-2016-168354,2016-09-19,RH-19510,Home Office,Office Supplies,Storage,9,481.869
205,1604.9,CA-2014-145387,2014-10-31,AM-10705,Consumer,Furniture,Chairs,5,481.47
206,1603.136,CA-2016-128594,2016-08-26,DJ-13510,Corporate,Furniture,Chairs,4,100.196
207,1603.136,CA-2016-152247,2016-11-07,MA-17995,Home Office,Furniture,Chairs,4,100.196
208,1599.92,CA-2016-102162,2016-09-11,JF-15565,Consumer,Technology,Copiers,8,751.9624
209,1598.058,CA-2015-155600,2015-12-04,RO-19780,Consumer,Office Supplies,Binders,7,-1065.372
210,1592.85,CA-2016-105207,2016-01-03,BO-11350,Corporate,Furniture,Tables,7,350.427
211,1591.02,CA-2016-105459,2016-08-12,NP-18700,Consumer,Office Supplies,Storage,6,286.3836
212,1586.69,CA-2017-120376,2017-12-22,TP-21130,Consumer,Furniture,Chairs,7,412.5394
213,1579.746,US-2014-148838,2014-03-17,CP-12340,Corporate,Furniture,Tables,7,-447.5947
214,1577.94,CA-2017-103877,2017-09-07,RD-19660,Home Office,Office Supplies,Binders,3,757.4112
215,1577.94,CA-2017-146983,2017-09-02,AH-10210,Consumer,Office Supplies,Binders,3,757.4112
216,1575.14,CA-2017-105914,2017-10-02,PV-18985,Home Office,Office Supplies,Storage,7,204.7682
217,1573.488,CA-2014-150245,2014-12-31,PC-18745,Corporate,Furniture,Bookcases,7,196.686
218,1568.61,CA-2016-169838,2016-11-25,BB-11545,Corporate,Furniture,Tables,9,329.4081
219,1565.88,US-2016-100461,2016-01-08,JO-15145,Corporate,Furniture,Bookcases,6,407.1288
220,1564.29,US-2016-165505,2016-01-23,CB-12535,Corporate,Office Supplies,Storage,13,406.7154
221,1554.936,CA-2016-125087,2016-04-18,TH-21115,Corporate,Office Supplies,Storage,3,77.7468
222,1552.831,CA-2015-111514,2015-08-31,SC-20260,Corporate,Furniture,Bookcases,7,200.9546
223,1548.99,CA-2015-101889,2015-12-27,DB-13120,Corporate,Furniture,Tables,9,-464.697
224,1537.074,CA-2016-124590,2016-11-12,SP-20920,Consumer,Furniture,Chairs,9,0.0
225,1526.56,CA-2017-155880,2017-03-25,JD-16150,Corporate,Furniture,Chairs,7,427.4368
226,1525.188,CA-2017-131254,2017-11-19,NC-18415,Consumer,Office Supplies,Binders,6,-2287.782
227,1522.638,CA-2015-166947,2015-06-05,EB-13750,Corporate,Furniture,Chairs,9,169.182
228,1516.2,CA-2015-115567,2015-09-13,ZC-21910,Consumer,Furniture,Chairs,7,394.212
229,1504.52,CA-2017-103212,2017-10-13,MH-18025,Consumer,Furniture,Tables,4,346.0396
230,1503.25,CA-2014-131926,2014-06-01,DW-13480,Home Office,Office Supplies,Appliances,5,496.0725
231,1502.376,CA-2014-153850,2014-11-24,TH-21100,Consumer,Technology,Phones,4,-250.396
232,1499.97,CA-2016-114867,2016-12-23,FM-14290,Home Office,Technology,Phones,5,-374.9925
233,1499.95,CA-2016-139997,2016-07-01,EM-14140,Home Office,Technology,Copiers,5,449.985
234,1497.666,US-2017-109316,2017-06-08,MG-17680,Home Office,Furniture,Bookcases,2,140.9568
235,1496.16,CA-2017-121027,2017-08-18,HW-14935,Corporate,Technology,Accessories,9,224.424
236,1488.424,US-2017-134481,2017-08-27,AR-10405,Corporate,Furniture,Tables,7,-297.6848
237,1487.976,US-2015-163279,2015-03-22,JD-16150,Corporate,Technology,Phones,3,185.997
238,1487.04,CA-2014-166954,2014-04-25,BT-11305,Home Office,Furniture,Chairs,5,148.704
239,1487.04,CA-2014-125731,2014-09-10,CL-12565,Consumer,Furniture,Chairs,5,148.704
240,1478.272,CA-2017-116680,2017-09-04,PK-19075,Consumer,Furniture,Tables,8,92.392
241,1474.802,CA-2016-124590,2016-11-12,SP-20920,Consumer,Furniture,Chairs,7,-21.0686
242,1473.1,CA-2017-156776,2017-08-07,JL-15505,Consumer,Office Supplies,Appliances,5,412.468
243,1471.96,US-2017-142188,2017-09-11,JF-15415,Consumer,Office Supplies,Binders,5,459.9875
244,1458.65,CA-2017-141733,2017-05-07,RW-19540,Corporate,Furniture,Chairs,5,423.0085
245,1454.9,CA-2016-123540,2016-04-02,DJ-13420,Corporate,Furniture,Chairs,5,378.274
246,1454.49,CA-2017-143063,2017-08-10,IL-15100,Consumer,Technology,Phones,9,378.1674
247,1448.82,CA-2015-162047,2015-11-03,FH-14365,Corporate,Furniture,Chairs,10,209.274
248,1447.65,CA-2015-155306,2015-04-17,GA-14515,Consumer,Office Supplies,Appliances,5,419.8185
249,1443.96,CA-2017-146535,2017-11-24,FM-14290,Home Office,Office Supplies,Storage,12,375.4296
250,1441.3,CA-2014-132612,2014-06-09,FO-14305,Consumer,Furniture,Tables,7,245.021
251,1439.982,CA-2017-162691,2017-08-01,AS-10045,Corporate,Technology,Machines,3,-263.9967
252,1439.976,CA-2016-147417,2016-07-25,CB-12415,Consumer,Technology,Copiers,4,191.9968
253,1439.968,CA-2015-146675,2015-04-16,SB-20185,Consumer,Technology,Copiers,4,485.9892
254,1439.968,CA-2016-168032,2016-01-30,DF-13135,Consumer,Technology,Phones,4,143.9968
255,1439.92,CA-2017-145884,2017-10-21,SL-20155,Home Office,Technology,Phones,8,374.3792
256,1432.0,CA-2014-103310,2014-05-10,GM-14680,Consumer,Technology,Phones,5,125.3
257,1424.9,US-2016-143448,2016-12-10,MH-17455,Consumer,Furniture,Chairs,5,356.225
258,1421.664,CA-2016-131289,2016-12-08,SP-20620,Corporate,Furniture,Tables,6,-195.4788
259,1421.664,CA-2014-108609,2014-10-31,AJ-10780,Corporate,Furniture,Tables,8,-734.5264
260,1415.76,CA-2017-105669,2017-09-17,SJ-20125,Home Office,Technology,Phones,6,88.485
261,1408.1,CA-2015-153381,2015-09-24,DE-13255,Home Office,Furniture,Chairs,10,394.268
262,1406.86,CA-2015-147788,2015-05-31,TM-21010,Consumer,Furniture,Bookcases,7,140.686
263,1403.92,CA-2014-124247,2014-12-16,SH-20635,Corporate,Furniture,Chairs,5,70.196
264,1403.92,CA-2016-146913,2016-10-31,SF-20965,Corporate,Furniture,Chairs,5,70.196
265,1399.98,US-2017-167920,2017-12-09,JL-15835,Consumer,Technology,Copiers,2,629.991
266,1399.944,CA-2016-155845,2016-08-12,CM-12235,Consumer,Technology,Accessories,7,52.4979
267,1399.93,CA-2017-143686,2017-05-14,PJ-19015,Consumer,Technology,Accessories,7,601.9699
268,1399.93,CA-2015-113145,2015-11-01,VD-21670,Consumer,Technology,Accessories,7,601.9699
269,1395.54,CA-2014-124856,2014-09-29,LD-17005,Consumer,Office Supplies,Storage,9,362.8404
270,1394.95,CA-2014-110408,2014-10-18,AS-10225,Corporate,Technology,Phones,5,362.687
271,1379.92,CA-2015-124450,2015-04-27,GT-14710,Consumer,Technology,Machines,8,648.5624
272,1369.764,CA-2015-141565,2015-09-20,BG-11035,Consumer,Office Supplies,Binders,6,-913.176
273,1369.764,CA-2016-107783,2016-07-28,OT-18730,Consumer,Office Supplies,Binders,6,-913.176
274,1367.84,CA-2014-111192,2014-07-30,TS-21430,Corporate,Furniture,Bookcases,8,259.8896
275,1363.96,CA-2016-105256,2016-05-20,JK-15730,Consumer,Technology,Phones,5,85.2475
